"FileName","Extension","SizeKB","UsedOnAnyGrinsHtmlPage","ProposedCharacter","ProposedPageFile","ProposedSection","PageAlreadyExists","ProposedAction","ReviewNotes","FullPath"
"Devil Grin ORIGINAL COLOR.jpg",".jpg","65.4","False","Devil Grin","devil-grin.html","Original Drawing","False","Likely create new page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Devil Grin ORIGINAL COLOR.jpg"
"Devine Devil COLOR.jpg",".jpg","250.5","False","Devine Devil","devine-devil.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Devine Devil COLOR.jpg"
"Dino Heart Grin B&W.png",".png","82","False","Dino Heart Grin","dino-heart-grin.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dino Heart Grin B&W.png"
"Dino Heart Grin COLOR.png",".png","105.1","False","Dino Heart Grin","dino-heart-grin.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dino Heart Grin COLOR.png"
"Dino Heart Grin ORIGINAL.jpg",".jpg","440.4","False","Dino Heart Grin","dino-heart-grin.html","Original Drawing","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dino Heart Grin ORIGINAL.jpg"
"DJ Grin B&W.jpg",".jpg","362","False","DJ Grin","dj-grin.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DJ Grin B&W.jpg"
"DJ Grin COLOR.jpg",".jpg","322.9","False","DJ Grin","dj-grin.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\DJ Grin COLOR.jpg"
"Dog Grin B&W.png",".png","76.1","False","Dog Grin","dog-grin.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dog Grin B&W.png"
"Dog Grin COLOR.jpg",".jpg","302.3","False","Dog Grin","dog-grin.html","Digitized Versions","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dog Grin COLOR.jpg"
"Dog Grin ORIGINAL COLOR 1.jpg",".jpg","68","False","Dog Grin","dog-grin.html","Original Drawing","False","Likely create new page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dog Grin ORIGINAL COLOR 1.jpg"
"Dog Grin ORIGINAL COLOR 2.jpg",".jpg","152.7","False","Dog Grin","dog-grin.html","Original Drawing","False","Likely create new page","Contains ORIGINAL COLOR: review whether original, color study, digitized version, or collector card.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dog Grin ORIGINAL COLOR 2.jpg"
"Dog Grin ORIGINAL.jpg",".jpg","307.5","False","Dog Grin","dog-grin.html","Original Drawing","False","Likely create new page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dog Grin ORIGINAL.jpg"
"Dog Head Grin B&W.jpg",".jpg","306.6","False","Dog Head Grin","dog-head-grin.html","Digitized Versions","False","Likely create new page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dog Head Grin B&W.jpg"
"Dog Head Grin COLOR.jpg",".jpg","355.9","False","Dog Head Grin","dog-head-grin.html","Digitized Versions","False","Likely create new page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dog Head Grin COLOR.jpg"
"Dog Head Grin ORIGINAL.jpg",".jpg","184.3","False","Dog Head Grin","dog-head-grin.html","Original Drawing","False","Likely create new page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dog Head Grin ORIGINAL.jpg"
"Dr Bub Quack Grin B&W.jpg",".jpg","383","False","Dr Bub Quack Grin","dr-bub-quack-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dr Bub Quack Grin B&W.jpg"
"Dripping Grin B&W.jpg",".jpg","294.6","False","Dripping Grin","dripping-grin.html","Digitized Versions","True","Add to existing page","","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dripping Grin B&W.jpg"
"Dripping Grin head B&W.jpg",".jpg","442.7","False","Dripping Grin","dripping-grin.html","Digitized Versions","True","Add to existing page","Filename suggests a view/turnaround or part-specific image.","D:\github\ron-english-sketches-and-drawings\images\Sketches\grins\Dripping Grin head B&W.jpg"
