"ProposedCharacter","ProposedPageFile","PageAlreadyExists","ProposedAction","UnusedFileCount","OriginalDrawingCount","DigitizedVersionsCount","CollectorCardsCount","NeedsReviewCount","Files"
"Panda Grin","panda-grin.html","True","Add to existing page","3","1","2","0","1","Panda Grin B&W.jpg | Panda Grin COLOR.jpg | Panda Grin ORIGINAL COLOR.jpg"
"Patrick Grin","patrick-grin.html","True","Add to existing page","2","1","1","0","1","Patrick Grin B&W.jpg | Patrick Grin ORIGINAL COLOR 2.jpg"
"Peko Girl Grin","peko-girl-grin.html","True","Add to existing page","1","0","1","0","0","Peko Girl Grin COLOR.jpg"
"Pepz Boy Grin","pepz-boy-grin.html","True","Add to existing page","2","0","2","0","0","Pepz Boy Grin B&W.jpg | Pepz Boy Grin COLOR.jpg"
"Peter Grin","peter-grin.html","True","Add to existing page","2","0","2","0","0","Peter Grin B&W.jpg | Peter Grin COLOR.jpg"
"Peter Potamus Grin","peter-potamus-grin.html","True","Add to existing page","2","0","2","0","0","Peter Potamus Grin B&W.jpg | Peter Potamus Grin COLOR.jpg"
"Pinocchio Grin","pinocchio-grin.html","True","Add to existing page","2","0","2","0","2","Pinocchio Grin front COLOR.jpg | Pinocchio Grin Right Side B&W.jpg"
"pinocchio grin left side - B&W - Trace girl","pinocchio-grin-left-side-b-and-w-trace-girl.html","False","Likely create new page","1","0","1","0","1","pinocchio grin left side - B&W - Trace girl.jpg"
"Pizza This Grin","pizza-this-grin.html","False","Likely create new page","2","0","2","0","0","Pizza This Grin B&W.jpg | Pizza This Grin COLOR.jpg"
"Plush Bear Grin","plush-bear-grin.html","True","Add to existing page","1","1","0","0","1","Plush Bear Grin front ORIGINAL COLOR.jpg"
"Popeye Butthead Grin","popeye-butthead-grin.html","True","Add to existing page","2","0","2","0","2","Popeye Butthead Grin B&W.jpg | Popeye Butthead Grin COLOR.jpg"
"Powerpuff Girl Bubbles Grin","powerpuff-girl-bubbles-grin.html","True","Add to existing page","2","0","2","0","0","Powerpuff Girl Bubbles Grin B&W.jpg | Powerpuff Girl Bubbles Grin COLOR.jpg"
"Pumpkin Grin","pumpkin-grin.html","True","Add to existing page","2","0","2","0","1","Pumpkin Grin B&W.jpg | Pumpkin Grin Side View B&W.jpg"
"Qhrist Grin 1","qhrist-grin-1.html","True","Add to existing page","1","0","1","0","0","Qhrist Grin 1 B&W.jpg"
"Qhrist Grin 2","qhrist-grin-2.html","True","Add to existing page","2","1","1","0","1","Qhrist Grin 2 COLOR.jpg | Qhrist Grin 2 ORIGINAL COLOR.jpg"
"Quick Draw McGraw Grin","quick-draw-mcgraw-grin.html","True","Add to existing page","2","0","2","0","0","Quick Draw McGraw Grin B&W.jpg | Quick Draw McGraw Grin COLOR.jpg"
"Rabbbit Double Grin Mouth","rabbbit-double-grin-mouth.html","True","Add to existing page","1","0","1","0","0","Rabbbit Double Grin Mouth COLOR.jpg"
"Rabbbit Grin","rabbbit-grin.html","True","Add to existing page","1","0","1","0","0","Rabbbit Grin COLOR (2).jpg"
"Rabbbit Grin mouth","rabbbit-grin-mouth.html","True","Add to existing page","2","0","2","0","0","Rabbbit Grin mouth B&W.jpg | Rabbbit Grin Mouth COLOR.jpg"
"Rabbbit Grin version 2","rabbbit-grin-version-2.html","True","Add to existing page","3","0","3","0","3","Rabbbit Grin version 2 back B&W.jpg | Rabbbit Grin version 2 back COLOR.jpg | Rabbbit Grin version 2 three quarters B&W.jpg"
"Rabbbit Skull Grin","rabbbit-skull-grin.html","True","Add to existing page","1","0","1","0","0","Rabbbit Skull Grin COLOR.jpg"
"Rabbbit with Fangs","rabbbit-with-fangs.html","True","Add to existing page","1","0","1","0","1","Rabbbit with Fangs side B&W.jpg"
"Rabbit Grin","rabbit-grin.html","True","Add to existing page","2","0","2","0","0","Rabbit Grin B&W.jpg | Rabbit Grin COLOR.jpg"
