"Status","Character","Page","Section","File","FullPath"
"Grouped","New Urban Bigfoot","new-urban-bigfoot.html","Digital","New Urban Bigfoot COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\New Urban Bigfoot COLOR.jpg"
"Grouped","New Urban Bigfoot","new-urban-bigfoot.html","Original","New Urban Bigfoot ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\New Urban Bigfoot ORIGINAL.jpg"
"Grouped","Bigfoot Toddler","bigfoot-toddler.html","Digital","Bigfoot Toddler B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Bigfoot Toddler B&W.jpg"
"Grouped","Bigfoot Toddler","bigfoot-toddler.html","Digital","Bigfoot Toddler COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Bigfoot Toddler COLOR.jpg"
"Grouped","Myth Mother Bigfoot","myth-mother-bigfoot.html","Card","series 2 #7 front - BIGFOOTS - Myth Mother Bigfoot - common copy.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\series 2 #7 front - BIGFOOTS - Myth Mother Bigfoot - common copy.jpg"
"Grouped","Myth Mother Bigfoot","myth-mother-bigfoot.html","Card","series 2 #7 back - BIGFOOTS - Myth Mother Bigfoot - common.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\series 2 #7 back - BIGFOOTS - Myth Mother Bigfoot - common.jpg"
"Grouped","Myth Mother Bigfoot","myth-mother-bigfoot.html","Card","Myth Mother Bigfoot card.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Myth Mother Bigfoot card.jpg"
"Grouped","Myth Mother Bigfoot","myth-mother-bigfoot.html","Digital","Myth Mother Bigfoot B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Myth Mother Bigfoot B&W.jpg"
"Grouped","Myth Mother Bigfoot","myth-mother-bigfoot.html","Digital","Myth Mother Bigfoot COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Myth Mother Bigfoot COLOR.jpg"
"Grouped","Washington Bigfoot","washington-bigfoot.html","Digital","Washington Bigfoot B&W.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Washington Bigfoot B&W.jpg"
"Grouped","Washington Bigfoot","washington-bigfoot.html","Original","Washington Bigfoot ORIGINAL.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Washington Bigfoot ORIGINAL.jpg"
"Ungrouped","","","","Bigfoot Family Icon COLOR.jpg","D:\github\ron-english-sketches-and-drawings\images\Sketches\bigfoot\Bigfoot Family Icon COLOR.jpg"
