"ProposedTitle","ProposedSlug","ImageCount","OriginalCount","DigitalCount","SuggestedHero","ReviewFlags","ImageFiles"
"Selfie Guernica 4","selfie-guernica-4","1","1","0","Selfie Guernica 4 ORIGINAL.jpg","Guernica-related","Selfie Guernica 4 ORIGINAL.jpg"
"Selfie Guernica 5","selfie-guernica-5","1","1","0","Selfie Guernica 5 ORIGINAL.jpg","Guernica-related","Selfie Guernica 5 ORIGINAL.jpg"
"Shooting Range","shooting-range","1","1","0","Shooting Range sketch ORIGINAL.jpg","","Shooting Range sketch ORIGINAL.jpg"
"Skeleton Guernica","skeleton-guernica","1","1","0","Skeleton Guernica ORIGINAL.jpg","Guernica-related","Skeleton Guernica ORIGINAL.jpg"
"Skunk and Unicorn","skunk-and-unicorn","1","0","1","Skunk and Unicorn.jpg","","Skunk and Unicorn.jpg"
"Slo Moe and Friends in Rabbit Hole","slo-moe-and-friends-in-rabbit-hole","2","2","0","Slo Moe and Friends in Rabbit Hole ORIGINAL COLOR.jpg","","Slo Moe and Friends in Rabbit Hole ORIGINAL COLOR.jpg | Slo Moe and friends in Rabbit Hole ORIGINAL.jpg"
"Snowflake and Forlorn Unicorn","snowflake-and-forlorn-unicorn","1","0","1","snowflake and forlorn unicorn.jpg","","snowflake and forlorn unicorn.jpg"
"South Park Last Supper","south-park-last-supper","2","2","0","South Park Last Supper sketch left ORIGINAL.jpg","","South Park Last Supper sketch left ORIGINAL.jpg | South Park Last Supper sketch right ORIGINAL.jpg"
"Southpark","southpark","1","1","0","Southpark Sketch ORIGINAL.jpg","","Southpark Sketch ORIGINAL.jpg"
"Square Guernica","square-guernica","1","0","1","Square Guernica B&W.jpg","Guernica-related","Square Guernica B&W.jpg"
"Surf's Up","surf-s-up","1","1","0","Surf's Up ORIGINAL.jpg","","Surf's Up ORIGINAL.jpg"
"Swallowed Whole","swallowed-whole","1","1","0","Swallowed Whole ORIGINAL.jpg","","Swallowed Whole ORIGINAL.jpg"
"Swirling Aquanaut","swirling-aquanaut","2","1","1","Swirling Aquanaut B&W.jpg","","Swirling Aquanaut B&W.jpg | Swirling Aquanaut ORIGINAL.jpg"
"Swirly Angie Aqua Ape","swirly-angie-aqua-ape","2","1","1","Swirly Angie Aqua Ape B&W.jpg","","Swirly Angie Aqua Ape B&W.jpg | Swirly Angie Aqua Ape ORIGINAL.jpg"
"The Gang","the-gang","1","1","0","The Gang ORIGINAL.jpg","","The Gang ORIGINAL.jpg"
"The Prophet Potato","the-prophet-potato","3","1","2","The Prophet Potato COLOR.jpg","","The Prophet Potato COLOR.jpg | The Prophet Potato B&W.jpg | The Prophet Potato ORIGINAL.jpg"
"Tot and Friends","tot-and-friends","2","2","0","Tot and Friends ORIGINAL COLOR.jpg","","Tot and Friends ORIGINAL COLOR.jpg | Tot and Friends ORIGINAL.jpg"
"Trio","trio","1","0","1","Trio 14x17.jpg","Dimension clue in filename","Trio 14x17.jpg"
"UFO Landing","ufo-landing","2","2","0","UFO Landing ORIGINAL COLOR.jpg","","UFO Landing ORIGINAL COLOR.jpg | UFO Landing ORIGINAL.jpg"
"Unsee This Art","unsee-this-art","2","1","1","Unsee this Art B&W.jpg","","Unsee this Art B&W.jpg | Unsee this Art ORIGINAL.jpg"
"Waylone and Bunnny","waylone-and-bunnny","2","1","1","Waylone and Bunnny B&W.jpg","","Waylone and Bunnny B&W.jpg | Waylone and Bunnny ORIGINAL.jpg"
"Wolf Carousel","wolf-carousel","1","0","1","Wolf Carousel color.jpg","","Wolf Carousel color.jpg"
"X-ray Guernica","x-ray-guernica","1","1","0","X-Ray Guernica ORIGINAL.jpg","Guernica-related","X-Ray Guernica ORIGINAL.jpg"
